Noise (%),[0] A -> C,[1] A -> D,[2] B -> C,[3] B -> D,[4] A + B -> C,[5] A + B -> D,[6] 2A -> C,[7] 2A -> D,[8] 2B -> C,[9] 2B -> D,[10] A + B -> C -> D,[11] 2A -> C -> D,[12] A -> C -> D,[13] B -> C -> D,[14] A + B -> C ; 2A -> D,[15] A -> C ; B -> D,[16] 2A -> C ; 2B -> D,[17] A + B -> C -> D ; 2A -> D,[18] 2A -> C -> D ; A + B -> D,[19] A -> C -> D ; B -> D,[20] A <-> C,[21] A <-> D,[22] B <-> C,[23] B <-> D,[24] A + B <-> C,[25] A + B <-> D,[26] A -> C + D,[27] B -> C + D
41.5,48.4052,65.3219,40.3394,2.7957,48.5162,16.7804,93.5812,86.4353,80.3345,18.9357,17.8735,25.5376,29.9311,39.9059,31.0182,58.7129,50.2343,10.0318,8.4486,35.853,37.8475,0.5275,21.0317,0.5734,30.0861,0.5923,79.768,77.0887
42,46.8966,65.5794,38.9469,2.4516,48.9209,16.7804,92.9615,85.534,81.5552,18.0488,19.3859,25.1792,30.4479,38.9222,29.9678,58.0861,50.2769,9.035,8.2358,36.022,37.3094,0.3516,19.0035,0.5293,29.1799,0.1367,79.6821,77.304
42.5,47.1552,65.1073,38.9904,2.7527,47.7518,15.7799,92.6516,86.3001,80.651,17.1175,18.0568,23.8351,29.3282,38.7938,29.925,57.3339,48.8709,9.2471,8.5337,36.1909,35.7848,0.5275,18.6949,0.4852,27.0956,0.2733,78.1357,76.4427
43,45.819,64.4635,37.946,2.5376,46.5827,15.1887,92.873,86.0297,81.5099,17.5166,17.9193,23.8799,27.3902,38.8366,29.3891,56.3728,48.53,8.7805,8.0017,35.3041,35.9641,0.4396,18.5626,0.5293,28.5455,0.1367,78.5653,76.1413
43.5,44.4397,63.691,35.6397,2.3656,46.6277,14.9613,93.1828,87.1113,80.5606,19.2461,17.8277,23.4319,28.7252,37.5107,29.8178,56.0802,48.4022,8.929,7.4484,33.1081,33.8117,0.1758,17.2399,0.5293,27.2768,0.0456,77.7491,76.1413
44,44.8276,63.2618,35.3786,1.8925,47.7518,14.643,92.6516,84.7228,80.2441,17.3392,16.8653,23.2975,28.1223,36.8263,29.0032,55.537,48.8283,8.3563,7.2994,35.7686,33.1839,0.2637,16.1376,0.397,26.4613,0.2278,77.921,75.6245
44.5,42.5,63.5193,34.2907,2.2366,46.8975,14.0518,92.3417,85.7143,79.0687,16.9401,16.132,22.3118,28.1223,38.2378,28.4244,55.1609,48.6153,8.6108,7.193,33.4459,33.7668,0.3077,15.4762,0.4411,26.0082,0.3189,78.3505,75.969
45,43.1466,62.7897,34.3342,2.1505,45.9982,13.3697,92.6516,85.2186,79.7468,17.0732,15.6279,21.6846,26.2705,36.5269,28.4244,54.7012,47.2944,7.5292,7.1292,32.8547,30.583,0.2637,15.0794,0.3088,26.3706,0.2278,77.1478,75.1938
45.5,41.0776,62.5322,33.5944,1.7204,46.9424,14.2337,92.3417,86.9311,78.7523,14.4568,15.9487,21.595,25.7537,35.0727,28.7889,54.2833,45.931,8.2927,6.2567,33.4459,30.4484,0.2198,14.418,0.397,25.6004,0.1367,77.5773,74.4186
46,41.5948,61.2017,32.9852,2.0645,45.5935,13.5061,92.6073,87.1113,77.0344,14.5455,16.407,20.1165,26.1843,34.9444,28.1886,53.6983,46.1866,7.5716,6.0438,32.1791,30.6278,0.1758,13.8007,0.4411,24.1051,0.1367,75.945,75.9259
46.5,37.7586,62.4893,31.027,1.4194,45.0989,14.3247,92.2975,86.6607,76.6727,14.9446,14.8488,21.1022,25.6675,34.1317,27.7599,53.8654,45.7605,8.0594,5.98,32.0524,30.4484,0.3516,13.1393,0.397,24.7395,0.1822,75.7732,74.5909
47,39.8707,60.2575,30.9835,1.6344,44.2446,12.6421,91.7663,85.9847,76.8535,15.122,14.7571,20.1613,25.6675,33.5757,28.4244,51.2746,44.4823,7.5716,5.2352,31.7568,30.3587,0.2637,13.5802,0.1764,24.1504,0.0456,75.043,73.5142
47.5,39.569,61.2446,30.5483,1.2473,43.6601,14.1883,92.2089,85.4439,77.2152,14.0133,15.2154,20.1165,24.2894,33.1052,27.3741,51.9432,45.164,6.9141,5.5331,30.7855,29.0583,0.2198,12.6984,0.2647,23.7879,0.1367,74.7852,73.5573
48,38.1897,61.3734,31.7668,1.6774,42.4011,14.0973,92.0761,85.0383,75.6781,14.0576,13.5197,19.7581,24.4617,33.3618,27.224,51.191,44.738,7.1686,5.2777,31.0811,28.9238,0.3077,12.9189,0.5293,22.8817,0.2733,75.3866,73.6865
48.5,38.2759,59.5279,29.4169,0.8172,42.536,12.7785,92.386,86.0748,75.9494,12.3725,14.3446,18.8172,24.2033,31.266,26.881,52.0685,43.5023,6.8717,5.0649,31.5034,29.417,0.2198,13.4921,0.397,23.3802,0.1367,75.3007,73.3419
49,37.2845,60.2575,28.7641,0.9462,42.0863,14.1428,90.7039,85.6692,75.9042,13.6142,13.428,17.2491,23.2127,32.4636,26.2594,50.5224,44.0562,6.6808,4.8308,28.9274,27.3543,0.3516,11.1993,0.2647,23.063,0.0911,74.3986,72.696
49.5,37.5,59.3562,26.98,1.5054,43.1205,11.8236,92.2532,85.6692,75.5877,15.0776,13.0156,18.4588,22.9543,31.9504,25.4019,50.2298,43.6302,6.4475,4.4478,29.3919,26.5471,0.1319,11.2434,0.0882,22.2927,0.2278,72.8093,71.5332
50,36.1638,57.8112,27.067,0.9462,41.9514,12.3693,91.9433,83.5962,75.3617,11.929,12.9698,17.7867,22.4376,30.7528,25.9164,50.1463,42.6502,6.1082,4.6818,29.3497,25.157,0.1319,10.5379,0.5293,22.0208,0.1367,73.7543,72.4376
